GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JunitTest,com.learn.order,OrderBackup,0,47,0,2,0,13,0,6,0,5
JunitTest,com.learn.order,Order,0,50,0,2,0,14,0,9,0,8
JunitTest,com.learn.order,OrderStatus,0,21,0,0,0,2,0,1,0,1
JunitTest,com.learn,Meal,20,81,4,8,3,23,4,11,1,8
JunitTest,com.learn,OrderBackup,0,47,0,2,0,13,0,6,0,5
JunitTest,com.learn,OrderStatus,0,21,0,0,0,2,0,1,0,1
JunitTest,com.learn,Address,0,9,0,0,0,4,0,1,0,1
JunitTest,com.learn,Account,3,48,1,3,1,19,1,9,0,8
JunitTest,com.learn,Cart,0,56,0,2,0,15,0,6,0,5
JunitTest,com.learn,Order,0,50,0,2,0,14,0,9,0,8
JunitTest,com.learn,IAExceptionIgnoreExtension,2,16,1,1,1,5,1,3,0,3
JunitTest,com.learn,BeforeAfterExtension,0,5,0,0,0,3,0,3,0,3
JunitTest,com.learn.extensions,BeforeAfterExtension,0,5,0,0,0,3,0,3,0,3
JunitTest,com.learn.extensions,IAExceptionIgnoreExtension,2,16,1,1,1,5,1,3,0,3
JunitTest,work,Coordinates,27,67,7,11,3,13,10,5,3,3
JunitTest,work,Unit,16,119,1,5,4,30,2,11,1,9
JunitTest,work,Cargo,47,12,10,0,6,5,7,2,2,2
JunitTest,com.learn.account,Address,0,9,0,0,0,4,0,1,0,1
JunitTest,com.learn.account,Account,3,48,1,3,1,19,1,9,0,8
